,in_reply_to_status_id_str,created_at_ave_after_first_time,created_at_var,is_quote_status,time_zone,time_zone_var,has_extended_profile,default_profile,name_length_ave,created_at_ave_after_first_user,followers_count_ave,followers_count_var,favourites_count_ave,screen_name_length_ave,screen_name_length_var,verified_no,friends_count_ave,friends_count_var,geo_enabled_true,statuses_count_ave,statuses_count_var,tweets_lang_non_English,is_translation_enabled,non_url_no,urls_no,hashtags_no,symbols_no,favorite_count_ave,favorite_count_var,place_non_null,text_length_ave,retweet_count_ave,retweet_count_var,score
#antoniomartin_ambulance_shot-20141224_022407-20141224_033309,0.002663115845539281,5233.395472703062,12106720.958115324,0.0,15.0,8.478024861658046,0.46870838881491345,0.2103861517976032,11.426098535286284,134440484.7336884,2576.0479360852196,206715614.05096444,24776.521970705726,10.900133155792277,6.8169240834679385,0.007989347536617843,1454.0878828229029,8474294.386417754,0.6378162450066578,75194.48468708388,10467565706.918207,0.009320905459387484,0.007989347536617843,0.32756324900133155,0.0039946737683089215,0.9933422103861518,0.0,0.5312916111850865,104.28896757275254,0.0,135.06391478029295,965.9640479360852,603329.0439804186,1.5
#charliehebdo_#jesuischarlie_charlie-20150108_033749-20150108_051217,0.017942583732057416,521.7296650717703,94904.69246926584,0.0011961722488038277,22.0,10.167482357890158,0.291866028708134,0.3062200956937799,11.970095693779903,149322303.3492823,6972.976076555024,1896342474.1286144,9173.131578947368,10.885167464114833,7.075330235113654,0.034688995215311005,1864.001196172249,54719011.381577514,0.5311004784688995,29192.25,4338609071.046351,0.7655502392344498,0.009569377990430622,0.38995215311004783,0.75,0.9964114832535885,0.0,0.34688995215311,10.865313294109566,0.005980861244019139,128.4688995215311,155.30861244019138,119687.47652869669,1.8
#charliehebdo_#jesuischarlie_religion-20150107_164147-20150107_175052,0.017241379310344827,7188.263925729443,27370486.507266276,0.0,21.0,14.739979173849107,0.2917771883289125,0.31432360742705573,11.960212201591512,142739369.23209548,3661.870026525199,504106009.9778018,14876.3474801061,10.774535809018568,7.161367490097021,0.015915119363395226,2366.4562334217508,344881098.49211633,0.5477453580901857,33650.64323607427,5228900847.258661,0.3594164456233422,0.014588859416445624,0.3594164456233422,0.07294429708222812,0.9880636604774535,0.0,0.3660477453580902,9.457520984457785,0.01856763925729443,126.64058355437666,134.76923076923077,48992.72923893082,1.2
#charliehebdo_attack_charlie-20150107_100842-20150107_112852,0.0060882800608828,3077.9878234398784,3226801.768497087,0.0,23.0,20.604750329550164,0.2298325722983257,0.3820395738203957,12.060882800608828,140541425.79452056,33814.27549467276,188365850403.03064,15886.254185692542,10.60578386605784,7.209890443392652,0.0426179604261796,4431.490106544901,1437542874.1981516,0.528158295281583,64225.840182648404,14898097007.175373,0.1202435312024353,0.0045662100456621,0.3607305936073059,0.9147640791476408,0.9984779299847792,0.0,0.2024353120243531,1.841820553273609,0.0,132.97716894977168,222.68645357686452,134724.29133856445,1.8
#charliehebdo_attack_paris-20150107_072714-20150107_085144,0.008875739644970414,1142.474852071006,398770.66948592477,0.0,20.0,12.90437298676517,0.2692307692307692,0.3609467455621302,12.235207100591715,154744094.2322485,116421.22189349112,4825277175629.336,18053.329881656806,10.695266272189349,7.738498301880199,0.057692307692307696,2097.121301775148,41610943.54741605,0.4822485207100592,76607.36390532544,25364257950.133846,0.14644970414201183,0.01775147928994083,0.3742603550295858,0.5739644970414202,0.9911242603550295,0.0,0.7766272189349113,81.13797442316442,0.0029585798816568047,131.25147928994082,437.4230769230769,1668901.0221893487,1.9666666666666666
#charliehebdo_attack_paris-20150107_210443-20150107_220203,0.006329113924050633,773.0303797468355,195918.51806441275,0.002531645569620253,26.0,20.88986350344496,0.2746835443037975,0.3468354430379747,12.272151898734178,149996035.25696203,111351.67848101266,2381451256437.9014,14511.488607594936,10.567088607594936,6.956891523794269,0.09240506329113925,2195.740506329114,61777303.41494152,0.540506329113924,68726.87088607595,21513224496.16054,0.17088607594936708,0.015189873417721518,0.41012658227848103,0.4936708860759494,0.9822784810126582,0.0,0.43670886075949367,38.57004486460503,0.0037974683544303796,133.27974683544304,474.2556962025316,1811197.2941131226,1.8
#charliehebdo_paris_attack-20150107_072714-20150107_085144,0.007518796992481203,1744.8383458646617,1018727.3961737049,0.0,22.0,15.458621491071037,0.2556390977443609,0.3609022556390977,12.164160401002507,144038855.25814536,28033.406015037595,70771630625.36147,17386.49498746867,10.679197994987469,7.009868028467153,0.07393483709273183,2081.8671679197996,18030029.09012506,0.5526315789473685,64937.063909774435,11572164477.926992,0.20927318295739347,0.015037593984962405,0.37468671679197996,0.7205513784461153,0.9899749373433584,0.0,0.37593984962406013,23.27721559537942,0.008771929824561403,131.91478696741854,533.0187969924812,1268878.9683183525,1.9666666666666666
#charliehebdo_paris_attack-20150107_100842-20150107_112852,0.1568862275449102,3464.3532934131736,3774864.503926279,0.0,24.0,22.52851715730216,0.19520958083832335,0.5029940119760479,12.319760479041916,170474631.98802397,56678.71497005988,450969693633.1979,10899.380838323354,10.989221556886228,5.653776040732893,0.04910179640718563,1848.9125748502995,53218662.84145863,0.4275449101796407,53215.44071856287,10519381706.541096,0.12335329341317365,0.013173652694610778,0.4718562874251497,0.8239520958083832,0.9748502994011976,0.0,0.555688622754491,73.71755745993046,0.003592814371257485,128.0934131736527,302.18922155688625,873469.5019197534,1.9
#charliehebdo_thoughts_french-20150107_100842-20150107_112852,0.0036855036855036856,11809.120393120393,76791045.66855219,0.0,25.0,17.95048717468865,0.23095823095823095,0.36609336609336607,11.667076167076168,138434828.72727272,3612.277641277641,2336098118.898346,8541.76167076167,10.699017199017199,6.554372498475701,0.019656019656019656,1277.931203931204,18663412.06406317,0.4987714987714988,19209.53316953317,2253183803.4577446,0.21621621621621623,0.007371007371007371,0.36240786240786244,0.06388206388206388,0.9975429975429976,0.0,0.08108108108108109,4.428315293180159,0.0012285012285012285,139.95823095823096,59373.87223587224,448072656.8141431,1.6666666666666667
#ericgarner_protesters_police-20141203_214513-20141203_225016,0.0038412291933418692,3377.8258642765686,4515563.72383808,0.0,16.0,10.764775124967006,0.2471190781049936,0.22535211267605634,12.426376440460947,123846881.55953905,5679.440460947503,778176085.8981837,23326.040973111394,10.746478873239436,7.34929938143587,0.06530089628681178,2403.580025608195,30172496.794172086,0.4980793854033291,71287.64020486556,17943704053.65672,0.029449423815621,0.006402048655569782,0.4084507042253521,0.39180537772087065,0.9795134443021767,0.0,0.47759282970550576,17.560637483380088,0.0076824583866837385,134.24327784891165,99.59282970550576,47858.966094553594,1.6666666666666667
#ferguson_ferguson_police-20141125_163036-20141125_173141,0.01971830985915493,493.0507042253521,107048.50165443367,0.0,21.0,10.111332696885537,0.29014084507042254,0.271830985915493,12.336619718309858,139339000.19577464,4573.492957746479,497357651.00487995,22327.85633802817,10.856338028169015,7.035699266018625,0.028169014084507043,2624.4661971830988,90889671.85167426,0.5112676056338028,71183.94084507042,14829707415.55143,0.03943661971830986,0.007042253521126761,0.38873239436619716,0.34225352112676055,0.7394366197183099,0.0,0.20704225352112676,3.366992660186471,0.005633802816901409,133.856338028169,572.2014084507042,1715180.0735191433,1.6
#ferguson_ferguson_police-20141125_183326-20141125_194005,0.038461538461538464,551.0294117647059,120298.32266435988,0.0,14.0,10.507580721115456,0.2579185520361991,0.3076923076923077,11.64027149321267,131992078.55656108,4773.038461538462,1635935078.4215972,20494.463800904978,10.604072398190045,6.560435904260771,0.020361990950226245,1883.7058823529412,25915097.76417354,0.49321266968325794,79385.86877828055,31884311439.539345,0.06108597285067873,0.006787330316742082,0.3076923076923077,0.2171945701357466,0.9230769230769231,0.0,0.34615384615384615,4.547598329272538,0.0022624434389140274,132.93212669683257,550.6244343891402,1403025.9992219652,1.5666666666666667
#ferguson_obama_police-20141124_204733-20141124_215045,0.039334341906202726,30353.273827534038,401007690.7071668,0.0,19.0,11.142058861899521,0.23600605143721634,0.29652042360060515,12.611195158850228,141257338.93948564,9260.251134644479,6152256986.442227,22536.68532526475,10.629349470499244,6.305885961077621,0.03328290468986384,2790.7760968229954,33289692.491470996,0.4886535552193646,77596.64447806354,16688337501.0612,0.07261724659606657,0.01361573373676248,0.37367624810892586,0.405446293494705,0.9531013615733737,0.0,0.3691376701966717,7.346339498444798,0.009077155824508321,133.44478063540092,77.90922844175492,14369.843500312412,1.6333333333333333
