host_patrick_neil-20141015_161647-20141015_172214,"{""compound"": 0.2372, ""neg"": 0.0041, ""neu"": 0.8735, ""pos"": 0.1224, ""compound_var"": 0.07395243553695922}"
royals_game_series-20141015_203526-20141015_213926,"{""compound"": 0.2992, ""neg"": 0.0158, ""neu"": 0.8712, ""pos"": 0.113, ""compound_var"": 0.09800164181578788}"
giants_game_win-20141015_230140-20141016_000502,"{""compound"": 0.6322, ""neg"": 0.0172, ""neu"": 0.7329, ""pos"": 0.2499, ""compound_var"": 0.07022822884615199}"
october_ebola_house-20141015_230140-20141016_000502,"{""compound"": -0.0092, ""neg"": 0.0283, ""neu"": 0.9477, ""pos"": 0.024, ""compound_var"": 0.06556300281818184}"
ebola_white_health-20141016_012559-20141016_030253,"{""compound"": -0.553, ""neg"": 0.2381, ""neu"": 0.7481, ""pos"": 0.0137, ""compound_var"": 0.07925436098574701}"
oscar_pistorius_because-20141016_044421-20141016_060856,"{""compound"": -0.2954, ""neg"": 0.1664, ""neu"": 0.7736, ""pos"": 0.06, ""compound_var"": 0.20282786146005471}"
news_breaking_ebola-20141016_072313-20141016_082727,"{""compound"": -0.1441, ""neg"": 0.0828, ""neu"": 0.8918, ""pos"": 0.0254, ""compound_var"": 0.09962548446902661}"
artist_vote_year-20141016_111453-20141016_121002,"{""compound"": 0.5422, ""neg"": 0.002, ""neu"": 0.824, ""pos"": 0.174, ""compound_var"": 0.1126367823924736}"
kobe_espn_ranked-20141016_111453-20141016_121002,"{""compound"": -0.0504, ""neg"": 0.0693, ""neu"": 0.8759, ""pos"": 0.0548, ""compound_var"": 0.1244768924486795}"
story_october_ebola-20141016_111453-20141016_121002,"{""compound"": 0.182, ""neg"": 0.0458, ""neu"": 0.8594, ""pos"": 0.0948, ""compound_var"": 0.14475625292775657}"
ebola_obama_#ebola-20141016_181953-20141016_192544,"{""compound"": -0.1198, ""neg"": 0.0883, ""neu"": 0.8688, ""pos"": 0.0428, ""compound_var"": 0.12696713719999983}"
game_brady_jets-20141016_181953-20141016_192544,"{""compound"": 0.0332, ""neg"": 0.0693, ""neu"": 0.8487, ""pos"": 0.082, ""compound_var"": 0.20299722639694628}"
year_artist_#amas-20141016_203448-20141016_213927,"{""compound"": 0.0574, ""neg"": 0.0058, ""neu"": 0.9682, ""pos"": 0.026, ""compound_var"": 0.049192221710526327}"
#oscartrial_roux_him-20141017_021821-20141017_040749,"{""compound"": -0.1938, ""neg"": 0.1238, ""neu"": 0.8202, ""pos"": 0.0561, ""compound_var"": 0.21490085808080775}"
breaking_news_dead-20141017_054732-20141017_070826,"{""compound"": -0.6528, ""neg"": 0.2871, ""neu"": 0.7012, ""pos"": 0.0117, ""compound_var"": 0.08226589431740594}"
west_india_indies-20141017_054732-20141017_070826,"{""compound"": -0.1584, ""neg"": 0.0982, ""neu"": 0.8652, ""pos"": 0.0366, ""compound_var"": 0.10959471813920416}"
ebola_health_board-20141017_081818-20141017_092258,"{""compound"": 0.2775, ""neg"": 0.0494, ""neu"": 0.8416, ""pos"": 0.109, ""compound_var"": 0.0862571263013683}"
ebola_obama_night-20141017_081818-20141017_092258,"{""compound"": -0.0114, ""neg"": 0.0345, ""neu"": 0.9393, ""pos"": 0.0262, ""compound_var"": 0.060834591513647646}"
